镜号,时长(秒),台词,画面描述
1,2,旁白：飞船在静谧的星海中独自穿行。,背景：静谧的星海，远方星云璀璨，飞船独自穿行。
2,2,旁白：飞船的目标是一颗遍布着赤红色晶体的巨大行星。,背景：巨大的赤红色行星，表面有结晶体反射着恒星的光芒。
3,0.5,/,背景：飞船内部，红色警报灯猛地一闪。
4,0.5,/,背景：飞船仪表盘，数据流瞬间混乱。
5,2,/,"背景：飞船驾驶舱，控制杆。
诺亚：背对观众，全身像，坐在驾驶座奋力操控，身体剧烈晃动。"
6,1,旁白：在他的宇航服上，能清晰地看到他的名牌“诺亚”。,背景：特写镜头，飞船内部光线昏暗，特写宇航服胸口的名牌“Noah”。
7,1,/,背景：飞船内部，全息显示屏上刺眼的红色警报文字一闪而过。
8,1,/,背景：特写，仰视飞船内部墙壁，金属铭牌“摇篮”的字样。
9,1,/,背景：飞船储物格，培养皿里的绿色嫩芽因震动而摇晃。
10,1.5,旁白：墙壁的上方，整齐地排列着历代太空探索先驱的肖像...,背景：墙壁上方，历代太空探索先驱的肖像在晃动中掠过。
11,1.5,旁白：在照片墙的尽头留出了空白，仿佛等待着新的传奇。,背景：宇宙飞船内部光线昏暗，照片框的尽头是一个空白的画框。
12,2,旁白：诺亚：“摇篮计划？听起来真像神话故事……”宇航员诺亚略带自嘲。,"背景：飞船驾驶舱。
诺亚：自嘲，在剧烈晃动中勉强一笑。"
13,0.5,/,背景：极限广角，太空中一颗巨大的陨石占据了整个画面。
14,0.5,/,背景：飞船维生系统，一根金属管瞬间爆裂。
15,1,旁白：一颗陨石突然撞击飞船。,背景：飞船外部，陨石猛烈撞击。
16,1,旁白：电光火石，飞船的外壳在强烈的冲击下变形，瞬间崩塌。,背景：飞船外壳，电光火石，金属碎片飞溅。
17,1.5,/,背景：黑幕。
18,2,旁白：宇航员诺亚突然像是沉在深红的晶石海里，越坠越深。,"背景：黑幕，红色晶体中，特写手无力地下坠。
诺亚：迷茫。"
19,1,旁白：宇航员诺亚的脑中不停有模糊的画面闪过。,"背景：几个极其模糊的画面快速闪过。
诺亚：困惑。"
20,2.5,旁白：信使：执行紧急协议……连接……身份同步……协议终止……信使机械模糊沉闷的声效。,"背景：黑幕。
信使：机械。"
21,1,/,"背景：红色晶体中，几个气泡从头盔缝隙冒出。
诺亚：无助，在晶体中漂浮。"
22,1,旁白：一束微弱的光，从上方投进来。,背景：上方，一束微弱的光。
23,2,旁白：宇航员诺亚的手突然像是有了劲儿，朝着光抓了一下。,"背景：红色晶体中，诺亚的手。
诺亚：希望，奋力伸手抓向光。"
24,1,/,背景：黑幕。
25,2,/,背景：赤红色结晶戈壁，闪耀光芒，一片寂静。
26,2,旁白：信使艰难地睁开了光学传感器。,"背景：赤红色结晶戈壁，信使。
信使：疲惫，躺着，镜头轻微晃动。"
27,1,/,"背景：赤红色结晶戈壁，信使。
信使：躺在地上，特写头部，光学传感器缓缓亮起。"
28,2.5,旁白：信使半坐着试图起身，却摔了个踉跄。,"背景：赤红色结晶戈壁，信使。
信使：痛苦，动作笨拙地试图起身。"
29,1.5,/,"背景：赤红色结晶戈壁，逆光下的信使。
信使：狼狈，站立不稳。"
30,2,旁白：信使艰难地站了起来。,"背景：赤红色结晶戈壁，信使。
信使：坚毅，缓缓站直。"
31,1,/,背景：赤红色结晶戈壁，晶体因风而发出轻微的嗡鸣。
32,1,/,背景：异星植物在微风中摇曳。
33,2,旁白：信使在戈壁上徘徊，黑色的身影行走在赤红的晶体上...,"背景：赤红色结晶戈壁，信使徘徊。
信使：迷茫，徘徊。"
34,1,旁白：信使突然停下。,"背景：赤红色结晶戈壁，信使停下。
信使：疑惑，站立不动。"
35,1,/,背景：一个绿色的扫描线条从屏幕上快速扫过（信使的视角）。
36,1.5,旁白：穿着破损、尘土斑斑的宇航服的身影出现在戈壁上。,背景：一片荒凉的戈壁，风声呼啸。
37,1.5,/,背景：近景景别，戈壁边，一个宇航员面朝下，趴在地上。
38,2,旁白：信使：侦测到生命信号... 你还好吗？信使远远地对着趴在地上的身影喊话。,"背景：戈壁远处，信使站在那里。
信使：机械合成音喊话。"
39,1.5,旁白：那身影毫无反应，只有风和晶体嗡鸣的声音。,背景：戈壁上，近景景别，趴在地上的身影毫无反应。
40,2.5,旁白：信使：无法接收回应... 你能听到吗？信使远远地对着身影喊话。,"背景：戈壁边，特写头部，信使的光学传感器闪烁。
信使：头部特写。"
41,3,旁白：信使踱步的走向那个趴在地上的身影，短短数尺竟显得格外远。,"背景：戈壁上，信使走向趴着的身影。
信使：焦虑，缓慢地走向身影。"
42,2,旁白：信使踌躇地蹲下去。,"背景：戈壁上，信使站在趴着的身影旁边。
信使：犹豫，蹲下。
诺亚：平趴在地上，死亡。"
43,2,旁白：缓缓伸出透露着金属骨骼的手。,背景：戈壁边，机器人信使伸手的特写，机械手臂。
44,2.5,旁白：信使：身份未知... 你是谁？信使面对镜头，声音带着一丝程序化的困惑。,"背景：戈壁上，信使面对镜头，大逆光。
信使：困惑，站立，面对镜头。"
45,1.5,旁白：信使小心翼翼地触碰那具趴在地上的身影。,背景：戈壁上，机器人的机械臂触碰到死亡在戈壁上的宇航员。
46,2.5,旁白：信使缓缓翻转趴在地上的身影。,"背景：戈壁上，信使蹲在身影旁边。
信使：小心，翻转诺亚的尸体。
诺亚：躺在地上的尸体。"
47,2,旁白：一张苍白的面孔，那是宇航员诺亚。,"背景：近景景别，戈壁上，信使面对一张苍白的面孔。
诺亚：躺在地上的尸体，闭着眼睛。"
48,2,旁白：信使的光学传感器剧烈地闪烁着。,"背景：戈壁上，信使震惊的头部特写。
信使：震惊。"
49,2.5,旁白：信使盯着宇航员诺亚的宇航服。,"背景：戈壁上，信使盯着诺亚的宇航服。
信使：蹲在地上，身旁躺着一个死去的宇航员。"
50,1.5,旁白：特写宇航服上有着诺亚的名牌。,背景：躺在地上的宇航员衣服特写，宇航服上的名牌特写，名牌上写着“Noah”。
51,2,旁白：宇航员诺亚脸上的伤痕和苍白。,"背景：诺亚的脸部近景。
诺亚：死亡的躺在地上，闭眼，有伤痕，面部近景。"
52,3,旁白：信使低头看着自己金属的身体和机械手，身上也有一些破损。,"背景：戈壁上，信使低头看着自己的机械手。
信使：沉思，低头看机械手。"
53,2,/,背景：第一人称视角，机器人信使机械手掌的特写，戈壁边。
54,3,旁白：信使：我……是诺亚？近景信使的头部特写（低语，声音空洞，带着困惑）。,"背景：戈壁上机器人信使的头部特写。
信使：戈壁上机器人信使惊恐的表情。"